title,five_yr_bin,year_publication,authors,journal,volume_pages,sampling_start_date,sampling_end_date,study_area_grids,preferential_hemisphere,preferential_habitat,method,sampling_protocol,type_of_count,attraction_bias,continuous_time,n_snapshot,dist_boat,ship_speed,height_above_water,n_sides,n_observers,on_water_only,ship_followers,other_taxa_recorded,database_or_project,study_purpose,stats_technique,obs
Olfactory foraging in Antarctic seabirds--a species speciﬁc attraction to krill odors,1996_2000,1999,Nevitt,MEPS,177:235-241,02-1993,03-1993,33,south,oceanic,strip_transect,tasker,continuous,none_assumed,uninterrupted,NA,100m,not specified,not specified,1,1,not specified,not specified,NA,AMLR/NOAA,natural_history,"qualitative, hypothesis_testing",behaviour experiment (odor attraction)
Olfactory foraging in Antarctic seabirds--a species speciﬁc attraction to krill odors,1996_2000,1999,Nevitt,MEPS,177:235-241,02-1993,03-1993,33,south,oceanic,count,other,radial,chumming,NA,every 1min x 6,300m,0,not specified,2,2,no,NA,NA,AMLR/NOAA,natural_history,"qualitative, hypothesis_testing",behaviour experiment (odor attraction)
Seabirds of the Panama Bight,1996_2000,1999,Spear and Ainley,Waterbirds,22:175-198,1984,1991,151,north,oceanic,strip_transect,spear,continuous,none_assumed,uninterrupted,NA,500m,not specified,14,1,2-3,no,not specified,NA,None,"community_ecology, distribution","hypothesis_testing, modelling, multivariate",
"Summer food resources of the little auk, Alle alle (L) in the European Arctic seas",1996_2000,1999,Weslawski et al,Polish Polar Res,20:327-403,1991,1995,252,north,oceanic,strip_transect,tasker,not specified,none_assumed,not specified,not specified,300m,not specified,not specified,1,1,not specified,not specified,NA,None,"distribution, predator_prey",qualitative,
Scale‐dependent predator–prey interactions--the hierarchical spatial distribution of seabirds and prey,1996_2000,2000,Fauchald et al,Ecology,81:773-783,02-1993,03-1993,254,north,oceanic,strip_transect,other,continuous,research_fishing,uninterrupted,NA,300m,10,12,1,not specified,yes,not specified,NA,None,"predator_prey, ecology","spatial_stats, modelling, hypothesis_testing",
"Distribution, abundance and associations of seabirds in the Beagle Channel, Tierra del Fuego, Argentina",1996_2000,2000,Raya Rey and Schiavini,Polar Biol,23:338-345,02-1997,03-1997,56,south,coastal,strip_transect,tasker,continuous,none_assumed,10min,NA,300m,12,11,1,1,no,recorded only at the first sight,NA,None,"distribution, community_ecology","hypothesis_testing, multivariate, modelling","The authors mention using Tasker protocol to collect the data, but calculated densities using the DISTANCE software. However, they do not provide much information on how they specified/collected bird distances to run DISTANCE. Therefore I have assumed Tasker et al as the protocol"
Variability in foraging in response to changing prey distributions in rhinoceros auklets,1996_2000,2000,Davoren,MEPS,198:283-291,05-1996,08-1997,220,north,coastal,strip_transect,tasker,continuous,none_assumed,uninterrupted,NA,150m,10,not specified,2,1,no,NA,NA,None,predator_prey,"hypothesis_testing, spatial_stats",
"A large mid-winter observation of Bonapartes gulls, Larus philadelphia, in Head Harbour Passage, New Brunswick",1996_2000,2000,Huettmann et al,Canadian Field-Naturalist,114:327-330,12-1998,01-1999,200,north,coastal,count,other,continuous,none_assumed,uninterrupted,NA,not specified,6,not specified,4,not specified,no,not specified,NA,None,distribution,qualitative,
Impact of estuarine fronts on the dispersal of piscivorous birds in the German Bight,2001_2005,2001,Skov and Prins,MEPS,214:279-287,04-1986,05-1993,229,north,oceanic,distance_sampling,buckland,continuous,none_assumed,uninterrupted,NA,"distance intervals (50, 100, 200, 300m)",not specified,not specified,1,1,yes,not specified,NA,None,distribution,"modelling, qualitative, multivariate","""Standard line transect methods for recording sea birds at sea from ship as suggested by Tasker et al. (1984) have been widely accepted as a satisfactory basis for quantitative judgements of relative seabird abundance. However, modifications of the standard method are necessary to account for the reduced detectability of species such as the red- and black-throated divers moving out of the transect as the ship approaches (Webb & Durinck 1992)."""
Plumage-based ageing criteria for the Black-footed Albatross Phoebastria nigripes,2001_2005,2002,Hyrenbach,Mar Ornithol,30:85-93,08-1996,04-2000,"196, 197, 173, 172",north,oceanic,strip_transect,tasker,continuous,research_fishing,10min,NA,300m,not specified,not specified,1,1,not specified,pooled,NA,CalCOFI,"natural_history, distribution",qualitative,
Foraging behavior and resource partitioning by diving birds during winter in areas of strong tidal currents,2001_2005,2002,Holm and Burger,Waterbirds,25:312-325,11-1998,02-1999,220,north,coastal,strip_transect,other,continuous,none_assumed,uninterrupted,NA,150m,not specified,2,2,2,yes_foraging,not specified,NA,None,distribution,"qualitative, modelling, hypothesis_testing",
Seabirds and marine oil incidents--is it possible to predict the spatial distribution of pelagic seabirds,2001_2005,2002,Fauchald et al,J Appl Ecol,39:349-360,01-1986,03-1994,"254, 253, 255",north,oceanic,strip_transect,other,continuous,research_fishing,uninterrupted,NA,300m,10,12,1,1,yes,not specified,NA,None,distribution,"modelling, spatial_stats",
"Effects of the Juan de Fuca Eddy and upwelling on densities and distributions of seabirds off southwest Vancouver Island, British Columbia",2001_2005,2003,Burger,Mar Ornithol,31:113-122,05-1993,12-1995,220,north,coastal,strip_transect,other,continuous,none_assumed,uninterrupted,NA,150m,8,2.5,2,2,yes,not specified,NA,None,distribution,"hypothesis_testing, qualitative",storm petrel included either flying or on the water
"A low-cost, year-round seabird monitoring programme in the English channel and Bay of Biscay--preliminary results 1995-2001",2001_2005,2003,Brereton et al,Ornis Hung,12-13:105-113,08-1995,07-2000,"228, 204",north,oceanic,strip_transect,other,continuous,none_assumed,uninterrupted,NA,1000m,18,32,2,not specified,no,counted once then ignored,NA,BDRP,distribution,qualitative,
"A low-cost, year-round seabird monitoring programme in the English channel and Bay of Biscay--preliminary results 1995-2001",2001_2005,2003,Brereton et al,Ornis Hung,12-13:105-113,08-2000,02-2001,"228, 204",north,oceanic,strip_transect,other,continuous,none_assumed,uninterrupted,NA,"distance intervals (300, 1000m)",18,32,2,not specified,no,counted once then ignored,NA,BDRP,distribution,qualitative,
The influence of fish behaviour on search strategies of common murres Uria aalge in the northwest Atlantic,2001_2005,2003,Davoren et al,Mar Ornithol,31:123-131,07-2000,07-2000,225,north,oceanic,strip_transect,tasker,continuous,research_fishing,uninterrupted,NA,300m,not specified,3,1,1,no,not specified,NA,None,"distribution, predator_prey","qualitative, modelling",
"Distribution, abundance and behaviour of Bullers, Chatham Island and Salvins Albatrosses off Chile and Peru",2001_2005,2003,Spear et al,Ibis,145:253-259,1980,1995,"127, 103, 104, 79, 80, 55",south,oceanic,strip_transect,spear,continuous,none_assumed,uninterrupted,NA,400-600m,not specified,14,1,2-3,no,not recorded,NA,None,"distribution, natural_history, abundance","hypothesis_testing, multivariate, modelling",
The significance of southwest Greenland as winter quarters for seabirds,2001_2005,2004,Boertmann et al,Bird Conserv Int,14:87-112,02-1989,03-1989,249,north,oceanic,strip_transect,tasker,snapshot,none_assumed,10min,not specified,"distance intervals (150, 300, >300m)",not specified,not specified,1,1,not specified,not specified,NA,None,distribution,qualitative,"The authors used ship-based survey data from Durinck & Falk 1996 (Polar Res), from where I extracted the data"
"Distribution, abundance, habitat use and behaviour of three Procellaria petrels off South America",2001_2005,2005,Spear et al,Notornis,52:88-105,1980,1995,"151, 127, 103, 104, 79, 80, 55",south,oceanic,strip_transect,spear,continuous,none_assumed,uninterrupted,NA,400-600m,not specified,14,1,2-3,no,not recorded,marine mammals,None,"distribution, natural_history, abundance","hypothesis_testing, multivariate, modelling",
Spatial patterns in at-sea behaviour during spring migration by Little Gulls (Larus minutus) in the south-eastern North Sea,2006_2010,2006,Schwemmer and Garthe,J Ornithol,147:354-366,1991,2004,229,north,oceanic,strip_transect,tasker,continuous_snapshot,none_assumed,uninterrupted,every 1min,300m,not specified,not specified,1,1,no,not specified,NA,German Seabirds at Sea Database,"distribution, natural_history","qualitative, hypothesis_testing",
Characterising meso-marine ecosystems of the North Paciﬁc,2006_2010,2006,Batten et al,Deep-Sea Res II,53:270-290,06-2002,06-2003,"220, 219, 218, 217, 240, 239",north,oceanic,strip_transect,tasker,continuous,none_assumed,uninterrupted,NA,400m,10,28,1,1,no,counted once then ignored,NA,CPR-MBM,distribution,"qualitative, multivariate, modelling",
Effects of gill-net fishing on marine birds in a biological hotspot in the Northwest Atlantic,2006_2010,2007,Davoren,Conserv Biol,21:1032-1045,07-2000,07-2003,225,north,oceanic,strip_transect,tasker,continuous,research_fishing,uninterrupted,NA,300m,not specified,2.5,1,1,yes,not specified,marine mammals,None,"conservation, distribution","qualitative, hypothesis_testing",
Population trend over 100 years and conservation needs of breeding sandwich terns (Sterna sandvicensis) on the German North Sea coast,2006_2010,2007,Garthe and Flore,J Ornithol,148:215-227,1990,1995,229,north,oceanic,strip_transect,tasker,continuous_snapshot,none_assumed,uninterrupted,every 1min,300m,not specified,not specified,1,1,not specified,not specified,NA,German Seabirds at Sea Database,distribution,"qualitative, modelling",parameters were assumed based on Tasker et al
"Feeding aggregation of bottlenose dolphins and seabirds in Cockburn Sound, Western Australia",2006_2010,2008,Finn and Calver,West Aust Nat,26:157-172,2000,2002,92,south,coastal,log_book,other,NA,none_assumed,NA,NA,NA,NA,NA,NA,NA,NA,NA,cetaceans,None,natural_history,qualitative,study focused on bottlenose dolphins but recorded seabirds ocasionally
"Ecosystem responses to short-term climate variability in the Gulf of the Farallones, California",2006_2010,2008,Jahncke et al,Prog Oceanogr,77:182-193,05-2004,10-2005,196,north,oceanic,strip_transect,tasker,continuous_snapshot,none_assumed,uninterrupted,not specified,100m,10,5,1,1,yes,not specified,NA,None,distribution,"qualitative, hypothesis_testing, modelling",
"Co-occurrence and aggregation of marine birds and mammals in Monterey Bay, California, USA",2006_2010,2009,Henkel,MEPS,387:295-303,2-1999,3-2001,196,north,coastal,strip_transect,other,continuous,none_assumed,uninterrupted,NA,50m,8,0,2,2,yes,not specified,pinnipeds,None,distribution,"spatial_stats, modelling, hypothesis_testing",assuming Morisita index is a spatial analysis
A pelagic seabird survey of Arctic and sub-Arctic Canadian waters during fall,2006_2010,2009,McKinnon et al,Mar Ornithol,37:77-84,09-2005,10-2005,"246, 247, 248, 222, 223, 224",north,oceanic,strip_transect,tasker,continuous_snapshot,research_fishing,10min,every 1-2.5min,300m,11,not specified,1,1,no,not specified,NA,"PIROP, ArcticNet",distribution,"qualitative, modelling, spatial_stats",geostatistical models were used
Shearwater foraging in the Southern Ocean--the roles of prey availability and winds.,2006_2010,2010,Raymond et al,PLoS ONE,5:e10960,1980,2006,"41, 42, 43, 44, 45, 46, 66, 67, 68, 69, 70, 94",south,oceanic,strip_transect,biomass,continuous,none_assumed,10min,NA,300m,not specified,not specified,1,1,no,counted once then ignored but excluded from analysis,NA,None,distribution,"qualitative, hypothesis_testing, modelling",
Foraging distributions of little auks Alle alle across the Greenland Sea--implications of present and future Arctic climate change,2006_2010,2010,Karnovsky et al,MEPS,415:283-293,2005,2005,"251, 275, 277, 278",north,oceanic,strip_transect,other,continuous,research_fishing,uninterrupted,NA,300m,not specified,not specified,1,1,yes,not specified,NA,None,distribution,"qualitative, hypothesis_testing",
Short-term ecological eﬀects of an oﬀshore wind farm in the Dutch coastal zone--a compilation,2011_2015,2011,Lindeboom et al,Environ Res Lett,6:035101,09-2002,01-2009,229,north,coastal,distance_sampling,buckland,continuous,none_assumed,uninterrupted,NA,300m,10,not specified,2,2,no,not specified,pinnipeds,None,"distribution, conservation",modelling,"info from Leopold el al 2004 report, distance sampling used for birds on the water and Tasker et al for flying bird"
Short-term ecological eﬀects of an oﬀshore wind farm in the Dutch coastal zone--a compilation,2011_2015,2011,Lindeboom et al,Environ Res Lett,6:035102,09-2002,01-2009,229,north,coastal,strip_transect,tasker,continuous_snapshot,none_assumed,uninterrupted,every 1min,300m,10,not specified,2,2,no,not specified,pinnipeds,None,"distribution, conservation",modelling,"info from Leopold el al 2004 report, distance sampling used for birds on the water and Tasker et al for flying bird"
Where the wild things are--predicting hotspots of seabird aggregations in the California Current System,2011_2015,2011,Nur et al,Ecol Appl,21:2241-2257,10-1997,11-2008,"196, 220",north,oceanic,strip_transect,tasker,continuous,research_fishing,uninterrupted,NA,300m,not specified,not specified,1,1,no,not specified,NA,"CalCOFI, NMFS, PRBO, CSCAPE, ORCAWALE, Line P",distribution,modelling,
Habitat associations of floating debris and marine birds in the North East Pacific Ocean at coarse and meso spatial scales,2011_2015,2011,Titmus and Hyrenbach,Mar Poll Bull,62:2496-2506,08-2009,08-2009,"196, 195, 197",north,oceanic,strip_transect,tasker,continuous,research_fishing,60min,NA,300m,10,10,1,1,no,not specified,flying fish and flying squid,None,"distribution, conservation","modelling, multivariate","Note that the authors have done tows for plastics. Nonetheless, I believe these could act similarly as 'plankton tows' and therefore I classified as 'research fishing' to reflect as such"
"Distribution, abundance and population trends of the Kittlitzs murrelet Brachyramphus brevirostris in Prince William Sound, Alaska",2011_2015,2011,Kuletz et al,Mar Ornithol,39:97:109,1972,2007,219,north,coastal,strip_transect,other,continuous,none_assumed,uninterrupted,NA,100m,7,not specified,2,2,not specified,not specified,marine mammals,None,"distribution, abundance","qualitative, modelling",
Coexistence of mesopredators in an intact polar ocean ecosystem--the basis for defining a Ross Sea marine protected area,2011_2015,2012,Ballard et al,Biol Conserv,156:72-82,12-1976,12-2004,"48, 25, 26, 24, 1, 2",south,oceanic,strip_transect,other,continuous,none_assumed,uninterrupted,NA,300m,8,16,1,2-3,no,counted once then ignored,marine mammals,None,"conservation, distribution",modelling,
Species distribution modeling of storm-petrels (Oceanodroma furcata and O. leucorhoa) in the North Pacific and the role of dimethyl sulfide,2011_2015,2012,Humphries et al,Polar Biol,35:1699-1680,1974,2002,"241, 242, 217, 218, 219, 220, 264, 239, 240",north,oceanic,strip_transect,NA,continuous,none_assumed,10min,NA,NA,NA,NA,NA,NA,NA,NA,NA,NPPSD,distribution,modelling,
"Relationships among Kittlitzs murrelet habitat use, temperature-depth profiles, and landscape features in Prince William Sound, Alaska, USA",2011_2015,2012,Allyn et al,MEPS,466:233-247,07-2008,07-2008,219,north,coastal,strip_transect,other,continuous,none_assumed,uninterrupted,NA,100m,7,not specified,2,2,yes,not specified,marine mammals,None,distribution,modelling,
Visual prey availability and distribution of foraging little auks (Alle alle) in the shelf waters of West Spitsbergen,2011_2015,2013,Stempniewicz et al,Polar Biol,36:949-955,07-2009,07-2010,"277, 278",north,oceanic,strip_transect,other,continuous,none_assumed,uninterrupted,NA,300m,not specified,not specified,1,not specified,yes,not specified,NA,None,"distribution, predator_prey","modelling, hypothesis_testing","The authors have done zooplankton sample, but vertical rather than tows while in oceanographic stations, so I classified as 'none'in the attraction_bias column"
"Observations of pelagic seabirds in the waters offshore Suriname, May - July 2012",2011_2015,2014,de Boer et al,Acad J Suriname,5:474-491,05-2012,07-2012,153,north,oceanic,strip_transect,tasker,continuous_snapshot,none_assumed,10min,every 4min,500m,4,14,2,2,no,identified but pooled,NA,None,distribution,qualitative,
"Birds of the Arvoredo Marine Biological Reserve, southern Brazil",2011_2015,2015,Vieira et al,Check List,11:1532,05-2010,03-2012,105,south,coastal,strip_transect,tasker,continuous_snapshot,none_assumed,not specified,not specified,300m,10,not specified,1,1,not specified,pooled,non seabirds,None,distribution,qualitative,
Aggregation of European storm-petrel (Hydrobates pelagicus ssp. melitensis) around cage fish farms. Do they benefit from the farms resources,2016_2020,2016,Aguado-Gimenez et al,Mar Environ Res,122:46-58,05-2014,11-2014,"204, 205",north,coastal,strip_transect,tasker,snapshot,none_assumed,NA,every 1min x 5,200m,3,not specified,2,2,no,not specified,NA,None,"distribution, conservation, ecology","qualitative, hypothesis_testing","As a baseline for comparison and for phenological analysis, the authors also used data collected onboard commercial trawlers. For this, they transformed trawl-based observations on presence-absence and max count (at 5min intervals). That is the reason I added another line for this study in this dataset"
Aggregation of European storm-petrel (Hydrobates pelagicus ssp. melitensis) around cage fish farms. Do they benefit from the farms resources,2016_2020,2016,Aguado-Gimenez et al,Mar Environ Res,122:46-58,05-2014,11-2014,"204, 205",north,coastal,max_number,other,NA,commercial_fishing,NA,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,NA,None,"distribution, conservation, ecology","qualitative, hypothesis_testing","As a baseline for comparison and for phenological analysis, the authors also used data collected onboard commercial trawlers. For this, they transformed trawl-based observations on presence-absence and max count (at 5min intervals). However, the authors dis not explicitly state the methods for recording birds while on the fishing trips."
Persistence of trophic hotspots and relation to human impacts within an upwelling marine ecosystem,2016_2020,2017,Santora et al,Ecol Appl,27:560-574,1987,2012,"196, 197",north,oceanic,strip_transect,tasker,continuous,research_fishing,uninterrupted,NA,300m,5,not specified,1,1,no,counted once then ignored,NA,CalCOFI,distribution,"modelling, multivariate",
Seasonal distribution of short-tailed shearwaters and their prey in the Bering and Chukchi Seas,2016_2020,2017,Nishizawa et al,Biogeosciences,14:203-214,9-2012,7-2013,"241, 217, 242, 264, 240",north,oceanic,strip_transect,tasker,continuous,none_assumed,uninterrupted,NA,300-500m,10,10,1,1,no,counted once then ignored,NA,None,"distribution, predator_prey","modelling, qualitative",
Seasonal distribution of short-tailed shearwaters and their prey in the Bering and Chukchi Seas,2016_2020,2017,Nishizawa et al,Biogeosciences,14:203-214,9-2012,7-2013,"241, 217, 242, 264, 240",north,oceanic,strip_transect,tasker,continuous_snapshot,none_assumed,uninterrupted,every 1min,300m,not specified,not specified,1,1,no,counted once then ignored,NA,NPPSD,"distribution, predator_prey","modelling, qualitative",
A preliminary analysis of the distribution and spatial-temporal patterns of seabirds in the Laje de Santos and surrounding waters,2016_2020,2017,Fey et al,Braz J Oceanogr,65:576-587,6-2013,6-2015,105,south,coastal,strip_transect,tasker,continuous,none_assumed,10min,NA,300m,not specified,3,2,not specified,no,not specified,NA,None,"distribution, community_ecology",qualitative,
Seasonal variation in coastal marine habitat use by the European shag--Insights from fine scale habitat selection modeling and diet,2016_2020,2017,Michelot et al,Deep-Sea Res II,141:224-236,2011,2014,228,north,coastal,distance_sampling,buckland,continuous,none_assumed,uninterrupted,NA,unlimited,10,not specified,2,2,yes,not specified,NA,None,distribution,modelling,
Late summer zoogeography of the northern Bering and Chukchi seas,2016_2020,2017,Sigler et al,Deep-Sea Res II,135:168–189,2012,2013,"241, 242",north,oceanic,strip_transect,gould_forsell,continuous_snapshot,research_fishing,uninterrupted,every 1min,300m,NA,NA,1,1,no,not informed,NA,NA,community_ecology,"modelling, multivariate",
"Patterns of distribution, abundance, and change over time in a subarctic marine bird community",2016_2020,2018,Cushing et al,Deep-Sea Res II,147:148-163,1989,2012,219,north,coastal,strip_transect,other,continuous,none_assumed,uninterrupted,NA,100m,8,not specified,2,2,not specified,not specified,NA,None,"distribution, abundance, community_ecology","modelling, multivariate",
Very low biodiversity of top predators--seabirds and marine mammals--in the high Arctic Ocean,2016_2020,2019,Joiris,Adv Polar Sci,30:375-381,8-2008,10-2008,"281, 282, 283, 284, 285, 286, 287, 288, 280, 256, 255, 254",north,oceanic,count,other,continuous,none_assumed,30min,NA,unlimited,not specified,18,not specified,1,no,counted once then ignored,marine mammals,None,distribution,qualitative,
Variation of interspecific interactions at different ecological levels within an assemblage of Arctic marine predators,2016_2020,2019,Bellier,Polar Biol,42:99-113,08-2004,10-2015,"277, 278, 279, 280, 254, 255, 256",north,oceanic,strip_transect,tasker,continuous,none_assumed,uninterrupted,NA,300m,10,9,1,1,not specified,not specified,NA,None,"distribution, method","multivariate, modelling, spatial_stats",
"Die-offs, reproductive failure, and changing at-sea abundance of murres in the Bering and Chukchi Seas in 2018",2016_2020,2020,Romano et al,Deep-Sea Res II,181-182:104877,2012,2018,"241, 242",north,oceanic,strip_transect,gould_forsell,continuous_snapshot,none_assumed,uninterrupted,every 1min,300m,not specified,not specified,1,1,not specified,counted once then ignored,NA,None,distribution,modelling,
